Coding,Value,Meaning
2,1113002,Clerk to the board (local government)
2,1113003,Clerk to the council
2,1113004,Clerk to the county council
2,1113005,Clerk to the district council
2,1113006,Clerk to the parish council
2,1113007,"Clerk, chief (local government)"
2,1113008,"Clerk, deputy (local government)"
2,1113009,"Clerk, principal (local government)"
2,1113010,"Clerk, staff (local government)"
2,1113011,"Clerk, town"
2,1113012,"Collector, rate, chief"
2,1113013,"Collector, superintendent (local government)"
2,1113014,Councillor (local government)
2,1113015,Director (local government)
2,1113016,"Executive, chief (local government)"
2,1113017,Keeper of the Signet
2,1113018,"Manager, health, environmental"
2,1113019,"Manager, project (local government)"
2,1113020,"Manager, services, environmental"
2,1113021,"Manager, standards, trading"
2,1113022,"Manager, tax, council"
2,1113023,"Officer, chief (local government)"
2,1114,Senior officials of special interest organisations
2,1114001,"Director, charity"
2,1114002,"Director, divisional (Red Cross)"
2,1114003,"Executive, chief (charitable organisation)"
2,1114004,Manager (charity)
2,1114005,Manager (professional association)
2,1114006,Manager (religious organisation)
2,1114007,Manager (trade association)
2,1114008,Manager (trade union)
2,1114009,"Manager, branch (trade association)"
2,1114010,"Manager, development, donor (charitable organisation)"
2,1114011,Ombudsman
2,1114012,"Organiser, national (charitable organisation)"
2,1114013,"Organiser, national (trade union)"
2,1114014,President (trade union)
2,1114015,"President, union"
2,1114016,"Secretary, area (charitable organisation)"
2,1114017,"Secretary, area (professional organisation)"
2,1114018,"Secretary, area (trade association)"
2,1114019,"Secretary, area (trade union)"
2,1114020,"Secretary, diocesan"
2,1114021,"Secretary, general (charitable organisation)"
2,1114022,"Secretary, general (professional association)"
2,1114023,"Secretary, general (trade association)"
2,1114024,"Secretary, general (trade union)"
2,1114025,"Secretary, national (trade union)"
2,112,Production Managers
2,1121,"Production, works and maintenance managers"
2,1121001,Director (engineering)
2,1121002,Director (manufacturing)
2,1121003,Director (printing)
2,1121004,Director of manufacturing
2,1121005,"Director, company (engineering)"
2,1121006,"Director, company (manufacturing)"
2,1121007,"Director, engineering"
2,1121008,"Director, managing (engineering)"
2,1121009,"Director, managing (manufacturing)"
2,1121010,"Director, manufacturing"
2,1121011,"Director, operations (manufacturing)"
2,1121012,"Director, technical"
2,1121013,"Engineer, superintendent"
2,1121014,"Foreman, general (manufacturing)"
2,1121015,"Foreman, senior (manufacturing)"
2,1121016,"Foreman, works (manufacturing)"
2,1121017,Manager (coke ovens)
2,1121018,Manager (engineering)
2,1121019,Manager (manufacturing)
2,1121020,Manager (mineral oil processing)
2,1121021,Manager (nuclear fuel production)
2,1121022,Manager (packing company)
2,1121023,Manager (printing)
2,1121024,"Manager (ship building, repairing)"
2,1121025,Manager (solid fuel mfr)
2,1121026,Manager (steelworks)
2,1121027,"Manager, abattoir"
2,1121028,"Manager, bakery"
2,1121029,"Manager, brewery"
2,1121030,"Manager, composition"
2,1121031,"Manager, contract (manufacturing)"
2,1121032,"Manager, contracts (manufacturing)"
2,1121033,"Manager, control, materials"
2,1121034,"Manager, control, production"
2,1121035,"Manager, dairy (food products mfr)"
2,1121036,"Manager, district (manufacturing)"
2,1121037,"Manager, divisional (manufacturing)"
2,1121038,"Manager, electro-plating"
2,1121039,"Manager, engineering"
2,1121040,"Manager, factory"
2,1121041,"Manager, floor (manufacturing)"
2,1121042,"Manager, foundry"
2,1121043,"Manager, general (manufacturing)"
2,1121044,"Manager, house, dye"
2,1121045,"Manager, maintenance"
2,1121046,"Manager, manufacturing"
2,1121047,"Manager, mill"
2,1121048,"Manager, office, printing (PO)"
2,1121049,"Manager, operations"
2,1121050,"Manager, plant"
2,1121051,"Manager, print"
2,1121052,"Manager, printing"
2,1121053,"Manager, production"
2,1121054,"Manager, progress"
2,1121055,"Manager, project (manufacturing)"
2,1121056,"Manager, projects"
2,1121057,"Manager, publications (technical)"
2,1121058,"Manager, publications, technical"
2,1121059,"Manager, regional (manufacturing)"
2,1121060,"Manager, reprographics"
2,1121061,"Manager, room, composing"
2,1121062,"Manager, room, print"
2,1121063,"Manager, room, tool"
2,1121064,"Manager, service"
2,1121065,"Manager, services, technical"
2,1121066,"Manager, shift"
2,1121067,"Manager, shop (manufacturing)"
2,1121068,"Manager, shop (metal trades)"
2,1121069,"Manager, shop, colour"
2,1121070,"Manager, steelworks"
2,1121071,"Manager, systems (printing)"
2,1121072,"Manager, technical"
2,1121073,"Manager, textile"
2,1121074,"Manager, works"
2,1121075,"Manager, workshop"
2,1121076,"Manager, workshops"
2,1121077,"Manager, yard, boat"
2,1121078,"Manager, yard, ship"
2,1121079,Owner (engineering works)
2,1121080,Owner (manufacturing)
2,1121081,Owner (sawmill)
2,1121082,Owner (textile mill)
2,1121083,"Owner, foundry"
2,1121084,"Owner, mill, textile"
2,1121085,"Owner, sawmill"
2,1122,Managers in construction
2,1122001,Agent (building and contracting)
2,1122002,"Agent, builder's"
2,1122003,"Agent, contractor's"
2,1122004,"Agent, engineering, civil"
2,1122005,"Agent, site"
2,1122006,Clerk of works
2,1122007,Director (building and contracting)
2,1122008,Director (civil engineering)
2,1122009,"Director, building"
2,1122010,"Director, contracts (construction)"
2,1122011,"Director, managing (building and construction)"
2,1122012,"Manager (alarm, security installation)"
2,1122013,Manager (building and contracting)
2,1122014,Manager (civil engineering)
2,1122015,Manager (coal mine: opencast)
2,1122016,Manager (electrical contracting)
2,1122017,Manager (local government: highways dept)
2,1122018,"Manager, area (construction)"
2,1122019,"Manager, building"
2,1122020,"Manager, commercial (building and contracting)"
2,1122021,"Manager, construction"
2,1122022,"Manager, contract (building and contracting)"
2,1122023,"Manager, contracts (building and contracting)"
2,1122024,"Manager, contracts, building"
2,1122025,"Manager, demolition"
2,1122026,"Manager, development (building and contracting)"
2,1122027,"Manager, highway"
2,1122028,"Manager, highways"
2,1122029,"Manager, maintenance (buildings and other structures)"
2,1122030,"Manager, maintenance, property"
2,1122031,"Manager, plant (building and contracting)"
2,1122032,"Manager, production (building and contracting)"
2,1122033,"Manager, projects (building and contracting)"
2,1122034,"Manager, services, building"
2,1122035,"Manager, services, site"
2,1122036,"Manager, site"
2,1122037,"Manager, works (building and contracting)"
2,1122038,Master of works
2,1122039,Merchant (building and contracting)
2,1122040,Owner (building and contracting)
2,1122041,Owner (electrical contracting)
2,1122042,"Owner (plumbing, heating contracting)"
2,1122043,Owner (property renovation)
2,1122044,Sub-agent (building and construction)
2,1123,Managers in mining and energy
2,1123001,Agent (mining)
2,1123002,"Agent, colliery"
2,1123003,"Agent, mine"
2,1123004,"Agent, surface"
2,1123005,"Boss, mine"
2,1123006,Manager (electricity supplier)
2,1123007,Manager (mine (not opencast): quarry)
2,1123008,Manager (public utilities)
2,1123009,Manager (quarrying and extraction)
2,1123010,Manager (well drilling)
2,1123011,"Manager, colliery"
2,1123012,"Manager, distribution (energy suppliers)"
2,1123013,"Manager, exploration, oil"
2,1123014,"Manager, gas"
2,1123015,"Manager, installation, offshore"
2,1123016,"Manager, installations, offshore"
2,1123017,"Manager, operations (mining, water and energy)"
2,1123018,"Manager, planning (public utilities)"
2,1123019,"Manager, quarry"
2,1123020,"Manager, station, power"
2,1123021,Overman
2,1123022,Owner (quarry)
2,1123023,"Pusher, tool"
2,113,Functional Managers
2,1131,Financial managers and chartered secretaries
2,1131001,ACIS
2,1131002,Banker
2,1131003,"Banker, international"
2,1131004,"Banker, investment"
2,1131005,"Banker, merchant"
2,1131006,"Chamberlain, burgh"
2,1131007,"Chamberlain, city"
2,1131008,Director and Secretary
2,1131009,Director of finance
2,1131010,"Director, finance"
2,1131011,"Director, financial"
2,1131012,FCIS
2,1131013,Manager (accountancy services)
2,1131014,Manager (accountancy)
2,1131015,Manager (banking: merchant)
2,1131016,Manager (credit company)
2,1131017,Manager (financial services)
2,1131018,Manager (loan company)
2,1131019,Manager (money lending)
2,1131020,"Manager, VAT"
2,1131021,"Manager, assessment, credit"
2,1131022,"Manager, branch (credit company)"
2,1131023,"Manager, branch (financial services)"
2,1131024,"Manager, client (financial services)"
2,1131025,"Manager, control, credit"
2,1131026,"Manager, credit"
2,1131027,"Manager, derivatives"
2,1131028,"Manager, development, agency"
2,1131029,"Manager, exchange, foreign"
2,1131030,"Manager, finance"
2,1131031,"Manager, financial"
2,1131032,"Manager, fund"
2,1131033,"Manager, house, acceptance"
2,1131034,"Manager, insolvency"
2,1131035,"Manager, investment"
2,1131036,"Manager, market, money"
2,1131037,"Manager, markets (financial services)"
2,1131038,"Manager, office (credit control)"
2,1131039,"Manager, practice, insolvency"
2,1131040,"Manager, purchase, hire"
2,1131041,"Manager, systems, financial"
2,1131042,"Manager, tax"
2,1131043,"Manager, taxation"
2,1131044,"Manager, treasury"
2,1131045,"Manager, valuation"
2,1131046,Principal (banking)
2,1131047,Registrar
2,1131048,Registrar of stock
2,1131049,Registrar of stocks and bonds
2,1131050,"Registrar, company"
2,1131051,Secretary and company director
2,1131052,Secretary and legal adviser
2,1131053,Secretary of health authority
2,1131054,Secretary of health board
2,1131055,"Secretary, chartered"
2,1131056,"Secretary, company (director)"
2,1131057,Secretary-accountant
2,1131058,Secretary-director
2,1131059,Treasurer (qualified)
2,1131060,"Treasurer, company"
2,1131061,"Treasurer, county"
2,1132,Marketing and sales managers
2,1132001,Director of business development
2,1132002,Director of marketing
2,1132003,Director of sales
2,1132004,"Director, account"
2,1132005,"Director, commercial"
2,1132006,"Director, development, business"
2,1132007,"Director, export"
2,1132008,"Director, marketing"
2,1132009,"Director, sales"
2,1132010,"Director, sales and export"
2,1132011,"Director, sales and marketing"
2,1132012,Head of business development
2,1132013,Manager (marketing)
2,1132014,Manager (telephone sales)
2,1132015,Manager (airbrokers)
2,1132016,Manager (commission agents)
2,1132017,Manager (export agency)
2,1132018,Manager (import agency)
2,1132019,Manager (market research)
2,1132020,Manager (ship brokers)
2,1132021,"Manager, account (sales)"
2,1132022,"Manager, account (marketing)"
2,1132023,"Manager, account, national"
2,1132024,"Manager, account, sales"
2,1132025,"Manager, account, telesales"
2,1132026,"Manager, advertising, sales"
2,1132027,"Manager, agents, commission"
2,1132028,"Manager, area (pools promoters)"
2,1132029,"Manager, area (sales force)"
2,1132030,"Manager, area (market research)"
2,1132031,"Manager, area, sales"
2,1132032,"Manager, brand"
2,1132033,"Manager, commercial"
2,1132034,"Manager, communications"
2,1132035,"Manager, contract (marketing)"
2,1132036,"Manager, contracts"
2,1132037,"Manager, development, business"
2,1132038,"Manager, development, corporate"
2,1132039,"Manager, development, market"
2,1132040,"Manager, development, marketing"
2,1132041,"Manager, development, product"
2,1132042,"Manager, development, sales"
2,1132043,"Manager, district (assurance company)"
2,1132044,"Manager, district (insurance)"
2,1132045,"Manager, export"
2,1132046,"Manager, field"
2,1132047,"Manager, force, sales"
2,1132048,"Manager, import"
2,1132049,"Manager, label (music publishing)"
2,1132050,"Manager, marketing"
2,1132051,"Manager, merchandise"
2,1132052,"Manager, operations, commercial"
2,1132053,"Manager, pricing"
2,1132054,"Manager, product"
2,1132055,"Manager, products"
2,1132056,"Manager, promotion, sales"
2,1132057,"Manager, promotions (marketing)"
2,1132058,"Manager, regional (sales force)"
2,1132059,"Manager, research, market"
2,1132060,"Manager, rights (publishing company)"
2,1132061,"Manager, sales"
2,1132062,"Manager, sales and advertising"
2,1132063,"Manager, sales and commercial"
2,1132064,"Manager, sales and marketing"
2,1132065,"Manager, sales and service"
2,1132066,"Manager, sales, advertisement"
2,1132067,"Manager, sales, advertising"
2,1132068,"Manager, sales, area"
2,1132069,"Manager, sales, district"
2,1132070,"Manager, sales, field"
2,1132071,"Manager, sales, regional"
2,1132072,"Manager, sales, telephone"
2,1132073,"Manager, services, client (advertising)"
2,1132074,"Manager, services, marketing"
2,1132075,"Manager, strategy, business"
2,1132076,"Manager, support, marketing"
2,1132077,"Manager, team (sales force)"
2,1132078,"Manager, telemarketing"
2,1132079,"Manager, telesales"
2,1132080,Owner (export agency)
2,1132081,Owner (import agency)
2,1133,Purchasing managers
2,1133001,Director of contracts (government)
2,1133002,"Director, purchasing"
2,1133003,"Manager, buying"
2,1133004,"Manager, commissioning"
2,1133005,"Manager, contract (purchasing)"
2,1133006,"Manager, contracts (purchasing)"
2,1133007,"Manager, estimating"
2,1133008,"Manager, procurement"
2,1133009,"Manager, purchasing"
2,1133010,"Manager, supplies"
2,1134,Advertising and public relations managers
2,1134001,Director of external relations
2,1134002,Director of fund raising
2,1134003,"Director, account (advertising)"
2,1134004,"Director, advertising"
2,1134005,"Director, appeal"
2,1134006,"Director, appeals"
2,1134007,"Director, creative"
2,1134008,"Director, media"
2,1134009,Head (public relations)
2,1134010,Head of public affairs
2,1134011,Head of public relations
2,1134012,Manager (public relations)
2,1134013,Manager (advertising)
2,1134014,"Manager, account (advertising)"
2,1134015,"Manager, account, advertising"
2,1134016,"Manager, advertisement"
2,1134017,"Manager, advertising"
2,1134018,"Manager, affairs, public"
2,1134019,"Manager, appeal"
2,1134020,"Manager, appeals"
2,1134021,"Manager, campaign"
2,1134022,"Manager, fundraising"
2,1134023,"Manager, lottery"
2,1134024,"Manager, media"
2,1134025,"Manager, portfolio (advertising)"
2,1134026,"Manager, press (advertising)"
2,1134027,"Manager, production (advertising)"
2,1134028,"Manager, projects (advertising)"
2,1134029,"Manager, publicity"
2,1134030,"Manager, raising, fund"
2,1134031,"Manager, relations, public"
2,1134032,"Manager, tourism"
2,1134033,"Manager, traffic (advertising)"
2,1134034,Owner (advertising agency)
2,1135,"Personnel, training and industrial relations managers"
2,1135001,Director of communications
2,1135002,Director of human resources
2,1135003,Director of personnel
2,1135004,Director of training
2,1135005,"Director, development, management"
2,1135006,"Director, personnel"
2,1135007,"Director, recruitment"
2,1135008,"Director, resources, human"
2,1135009,"Director, training"
2,1135010,Manager (recruitment agency)
2,1135011,Manager (training establishment)
2,1135012,Manager (vocational training)
2,1135013,"Manager, NVQ"
2,1135014,"Manager, account (recruitment agency)"
2,1135015,"Manager, centre, assessment"
2,1135016,"Manager, centre, skills"
2,1135017,"Manager, centre, training"
2,1135018,"Manager, development, employee"
2,1135019,"Manager, development, self"
2,1135020,"Manager, development, training"
2,1135021,"Manager, o and m"
2,1135022,"Manager, organisation and efficiency"
2,1135023,"Manager, organisation and methods"
2,1135024,"Manager, personnel"
2,1135025,"Manager, personnel and training"
2,1135026,"Manager, recruitment"
2,1135027,"Manager, relations, employee"
2,1135028,"Manager, relations, industrial"
2,1135029,"Manager, research, operational"
2,1135030,"Manager, resources, human"
2,1135031,"Manager, services, management"
2,1135032,"Manager, staff"
2,1135033,"Manager, study, works"
2,1135034,"Manager, training"
2,1135035,"Manager, training and development"
2,1135036,"Manager, unit, NVQ"
2,1135037,Owner (employment agency)
2,1135038,Owner (recruitment agency)
2,1135039,"Owner, agency, employment"
2,1136,Information and communication technology managers
2,1136001,Director (computing)
2,1136002,Director of IT
2,1136003,Director of communications (computing)
2,1136004,"Director, IT"
2,1136005,Head of IT
2,1136006,Head of computer services
2,1136007,Manager (computing)
2,1136008,Manager (computer services)
2,1136009,Manager (information systems)
2,1136010,Manager (software company)
2,1136011,Manager (telecommunications services)
2,1136012,"Manager, CAD"
2,1136013,"Manager, IT"
2,1136014,"Manager, MIS"
2,1136015,"Manager, Telecom, British"
2,1136016,"Manager, administration, computer"
2,1136017,"Manager, applications (computing)"
2,1136018,"Manager, assurance, quality, systems"
2,1136019,"Manager, base, data"
2,1136020,"Manager, capture, data"
2,1136021,"Manager, centre, data"
2,1136022,"Manager, communications (computing)"
2,1136023,"Manager, communications, data"
2,1136024,"Manager, computer"
2,1136025,"Manager, development (computing)"
2,1136026,"Manager, development, IT"
2,1136027,"Manager, development, software"
2,1136028,"Manager, development, systems"
2,1136029,"Manager, engineering, system (computing)"
2,1136030,"Manager, information"
2,1136031,"Manager, information (computing)"
2,1136032,"Manager, installation, computer"
2,1136033,"Manager, intranet"
2,1136034,"Manager, network"
2,1136035,"Manager, networking"
2,1136036,"Manager, operations, computer"
2,1136037,"Manager, processing, data"
2,1136038,"Manager, production (computing)"
2,1136039,"Manager, programme (computing)"
2,1136040,"Manager, programming"
2,1136041,"Manager, project (computing)"
2,1136042,"Manager, project (telecommunications)"
2,1136043,"Manager, project, IT"
2,1136044,"Manager, project, development, software"
2,1136045,"Manager, service, computer"
2,1136046,"Manager, services (computing)"
2,1136047,"Manager, services, client (computing)"
2,1136048,"Manager, services, computer"
2,1136049,"Manager, services, network"
2,1136050,"Manager, software"
2,1136051,"Manager, support (computing)"
2,1136052,"Manager, support, IT"
2,1136053,"Manager, support, PC"
2,1136054,"Manager, support, desktop"
2,1136055,"Manager, support, systems"
2,1136056,"Manager, support, technical (computing)"
2,1136057,"Manager, system, network, computer"
2,1136058,"Manager, systems"
2,1136059,"Manager, systems, business"
2,1136060,"Manager, technical (computing)"
2,1136061,"Manager, technical, computer"
2,1136062,"Manager, technology, information"
2,1136063,"Manager, telecommunications"
2,1136064,"Manager, test (computing)"
2,1136065,"Manager, transmission (computing)"
2,1136066,"Manager, validation (computing)"
2,1136067,Owner (computer services)
2,1137,Research and development managers
2,1137001,Director (research and development)
2,1137002,Director of research (biological science)
2,1137003,Director of research (chemistry)
2,1137004,Director of research (physical science)
2,1137005,Head (research and development)
2,1137006,Manager (research and development)
2,1137007,Manager of field trials (NIAB)
2,1137008,"Manager, creative (research and development)"
2,1137009,"Manager, design"
2,1137010,"Manager, development (research and development)"
2,1137011,"Manager, laboratory"
2,1137012,"Manager, product (research and development)"
2,1137013,"Manager, project (research and development)"
2,1137014,"Manager, research (zoological)"
2,1137015,"Manager, research (agricultural)"
2,1137016,"Manager, research (biochemical)"
2,1137017,"Manager, research (botanical)"
2,1137018,"Manager, research (engineering, electrical)"
2,1137019,"Manager, research (engineering, electronic)"
2,1137020,"Manager, research (engineering, mechanical)"
2,1137021,"Manager, research (geological)"
2,1137022,"Manager, research (historical)"
2,1137023,"Manager, research (horticultural)"
2,1137024,"Manager, research (medical)"
2,1137025,"Manager, research (physical science)"
2,1137026,"Manager, research"
2,1137027,"Manager, research (biological)"
2,1137028,"Manager, research (meteorological)"
2,1137029,"Manager, research (chemical)"
2,1137030,"Manager, research (broadcasting)"
2,1137031,"Manager, research (government)"
2,1137032,"Manager, research (journalism)"
2,1137033,"Manager, research (printing and publishing)"
2,1137034,"Manager, research and development"
2,1137035,"Manager, services, forensic"
2,1137036,"Manager, technical (research and development)"
2,1137037,"Manager, tunnel, wind"
2,114,Quality And Customer Care Managers
2,1141,Quality assurance managers
2,1141001,"Manager, QA"
2,1141002,"Manager, affairs, regulatory"
2,1141003,"Manager, assurance, quality"
2,1141004,"Manager, assurance, quality (professional)"
2,1141005,"Manager, control, quality"
2,1141006,"Manager, finishing"
2,1141007,"Manager, planning (manufacturing)"
2,1141008,"Manager, quality"
2,1141009,"Manager, quality and performance"
2,1141010,"Manager, standards, operations"
2,1141011,"Manager, systems, quality"
2,1142,Customer care managers
2,1142001,Head of customer quality
2,1142002,Head of customer services
2,1142003,Manager of product support
2,1142004,"Manager, aftersales"
2,1142005,"Manager, business (customer service)"
2,1142006,"Manager, care, customer"
2,1142007,"Manager, complaints"
2,1142008,"Manager, desk, help"
2,1142009,"Manager, development, services, customer"
2,1142010,"Manager, helpdesk"
2,1142011,"Manager, hotline, regional"
2,1142012,"Manager, relations, customer"
2,1142013,"Manager, sales, after"
2,1142014,"Manager, service, customer"
2,1142015,"Manager, service, passenger"
2,1142016,"Manager, services, customer"
2,1142017,"Manager, services, passenger"
2,1142018,"Manager, support, customer"
2,1142019,"Manager, warranty"
2,115,Financial Institution And Office Managers
2,1151,Financial institution managers
2,1151001,Banker (finance)
2,1151002,"Banker, business"
2,1151003,Head of lending
2,1151004,Manager (average adjusting)
2,1151005,Manager (banking)
2,1151006,Manager (building society)
2,1151007,Manager (insurance brokers)
2,1151008,Manager (insurance)
2,1151009,Manager (postal services)
2,1151010,Manager (stock jobbers)
2,1151011,Manager (stockbrokers)
2,1151012,"Manager, account (bank, building society)"
2,1151013,"Manager, account (insurance)"
2,1151014,"Manager, account, customer (financial services)"
2,1151015,"Manager, bank"
2,1151016,"Manager, banking"
2,1151017,"Manager, branch (assurance company)"
2,1151018,"Manager, branch (bank, building society)"
2,1151019,"Manager, branch (insurance)"
2,1151020,"Manager, broking"
2,1151021,"Manager, card, credit"
2,1151022,"Manager, claims"
2,1151023,"Manager, company, insurance"
2,1151024,"Manager, corporate (bank, building society)"
2,1151025,"Manager, department (bank, building society)"
2,1151026,"Manager, department (insurance)"
2,1151027,"Manager, departmental (bank, building society)"
2,1151028,"Manager, departmental (insurance)"
2,1151029,"Manager, district (friendly society)"
2,1151030,"Manager, divisional (insurance)"
2,1151031,"Manager, equity"
2,1151032,"Manager, fund, pension"
2,1151033,"Manager, insurance"
2,1151034,"Manager, lending"
2,1151035,"Manager, market, mortgages"
2,1151036,"Manager, mortgage"
2,1151037,"Manager, office, insurance"
2,1151038,"Manager, office, post"
2,1151039,"Manager, operations (bank, building society)"
2,1151040,"Manager, operations, bank"
2,1151041,"Manager, pensions"
2,1151042,"Manager, planning, financial"
2,1151043,"Manager, project (financial services)"
2,1151044,"Manager, sales (bank, building society)"
2,1151045,"Manager, services, client (financial services)"
2,1151046,"Manager, settlements"
2,1151047,"Manager, society, building"
2,1151048,"Manager, society, friendly"
2,1151049,"Manager, underwriting"
2,1151050,"Manager, unit, mortgage"
2,1151051,"Master, post"
2,1151052,"Master, post, sub"
2,1151053,"Master, sub-post"
2,1151054,Postmaster
2,1151055,Postmistress
2,1151056,Sub-postmaster
2,1152,Office managers
2,1152001,"Director, accounts"
2,1152002,"Director, services (property management)"
2,1152003,Manager (Job Centre)
2,1152004,Manager (Social Security Office)
2,1152005,Manager (employment agency: private)
2,1152006,Manager (radio station)
2,1152007,Manager (television: transmission station)
2,1152008,Manager (ticket agency)
2,1152009,"Manager, accounts"
2,1152010,"Manager, admin"
2,1152011,"Manager, administration"
2,1152012,"Manager, administration, sales"
2,1152013,"Manager, agency, ticket"
2,1152014,"Manager, area, telephone"
2,1152015,"Manager, audit"
2,1152016,"Manager, booking"
2,1152017,"Manager, branch (entertainment ticket agency)"
2,1152018,"Manager, branch (government)"
2,1152019,"Manager, branch (private employment agency)"
2,1152020,"Manager, centre, call"
2,1152021,"Manager, collection"
2,1152022,"Manager, collections"
2,1152023,"Manager, conveyancing"
2,1152024,"Manager, copyright"
2,1152025,"Manager, cost"
2,1152026,"Manager, costing"
2,1152027,"Manager, court"
2,1152028,"Manager, district (electricity supplier)"
2,1152029,"Manager, district (gas supplier)"
2,1152030,"Manager, district, census"
2,1152031,"Manager, invoice"
2,1152032,"Manager, ledger, purchase"
2,1152033,"Manager, litigation"
2,1152034,"Manager, office"
2,1152035,"Manager, office, box"
2,1152036,"Manager, office, drawing"
2,1152037,"Manager, office, insurance (DSS)"
2,1152038,"Manager, payroll"
2,1152039,"Manager, payroll and pensions"
2,1152040,"Manager, practice"
2,1152041,"Manager, probate"
2,1152042,"Manager, records"
2,1152043,"Manager, registry"
2,1152044,"Manager, reservations"
2,1152045,"Manager, services, legal"
2,1152046,"Manager, solicitor's"
2,1152047,"Manager, support, business"
2,1152048,"Manager, tele-marketing"
2,1152049,"Manager, telephone"
2,1152050,"Manager, typing"
2,1152051,"Manager, wages"
2,1152052,Owner (loan office)
2,116,"Managers In Distribution, Storage And Retailing"
2,1161,Transport and distribution managers
2,1161001,"Captain, port"
2,1161002,Commandant (airport)
2,1161003,"Controller, chief (railways)"
2,1161004,"Director, airport"
2,1161005,"Director, operations (transport)"
2,1161006,"Director, traffic (transport)"
2,1161007,"Husband, ship's"
2,1161008,Manager (courier service)
2,1161009,Manager (distribution company)
2,1161010,Manager (freight forwarding)
2,1161011,Manager (haulage contractor)
2,1161012,Manager (minicab service)
2,1161013,Manager (removals company)
2,1161014,Manager (shipping and freight forwarding agency)
2,1161015,Manager (taxi service)
2,1161016,Manager (transport)
2,1161017,"Manager, airport"
2,1161018,"Manager, area (transport)"
2,1161019,"Manager, berthing"
2,1161020,"Manager, branch (furniture removals)"
2,1161021,"Manager, branch (transport)"
2,1161022,"Manager, capacity, cargo"
2,1161023,"Manager, crew (transport)"
2,1161024,"Manager, crews, train"
2,1161025,"Manager, delivery, parcel"
2,1161026,"Manager, depot"
2,1161027,"Manager, depot (transport)"
2,1161028,"Manager, despatch"
2,1161029,"Manager, dispatch"
2,1161030,"Manager, distribution"
2,1161031,"Manager, district (transport)"
2,1161032,"Manager, divisional (petroleum distribution)"
2,1161033,"Manager, divisional (transport)"
2,1161034,"Manager, docks"
2,1161035,"Manager, fleet, transport"
2,1161036,"Manager, flight"
2,1161037,"Manager, freight"
2,1161038,"Manager, garage, bus"
2,1161039,"Manager, operations (transport)"
2,1161040,"Manager, operations, port"
2,1161041,"Manager, pilot"
2,1161042,"Manager, port"
2,1161043,"Manager, removals"
2,1161044,"Manager, service, distribution"
2,1161045,"Manager, shipping"
2,1161046,"Manager, station (coach)"
2,1161047,"Manager, station (bus)"
2,1161048,"Manager, station (railways)"
2,1161049,"Manager, station (airlines)"
2,1161050,"Manager, terminal (oil distribution)"
2,1161051,"Manager, traffic"
2,1161052,"Manager, transport"
2,1161053,"Master, dock"
2,1161054,"Master, harbour"
2,1161055,"Master, pier"
2,1161056,"Master, port"
2,1161057,"Master, quay"
2,1161058,"Master, station"
2,1161059,Owner (bus service)
2,1161060,Owner (coach service)
2,1161061,Owner (courier service)
2,1161062,Owner (delivery service)
2,1161063,Owner (haulage service)
2,1161064,Owner (removals company)
2,1161065,"Owner, service, courier"
2,1161066,"Owner, ship"
2,1161067,Stationmaster
2,1162,Storage and warehouse managers
2,1162001,Manager (storage)
2,1162002,Manager (warehousing)
2,1162003,"Manager, accounting, stock"
